Ticker,Description,Price,Change %,Change,Volume,Market Capitalization,Relative Volume at Time,"Change 1m, %","Change 5m, %",Exchange,Pre-market Change,Open,Change from Open
HNST,"The Honest Company, Inc.",3.5,-2.77777778,-0.1,804004,324355114,1.28842945,0.14347202,0,NASDAQ,-0.02,3.5,0
XPEV,XPeng Inc.,10.5,-4.97737557,-0.55,15553547,9181755613.81152,1.3994239,0.14319809,0,NYSE,-0.2897,10.77,-0.27
WSM,"Williams-Sonoma, Inc.",140.49,-2.13847868,-3.07,861213,9352059480,1.47424088,0.14250089,0.0925794,NYSE,-2.42,140.66,-0.17
DAWN,"Day One Biopharmaceuticals, Inc.",21.11,-2.94252874,-0.64,434254,1552630462.9999998,1.63065012,0.14224751,0.30871527,NASDAQ,,21.3,-0.19
KNSA,"Kiniksa Pharmaceuticals, Ltd.",14.1,-0.49400141,-0.07,619412,980397898,5.04561888,0.14214641,0.53514092,NASDAQ,,14.08,0.02
PRME,"Prime Medicine, Inc.",21.11,5.55,1.11,439993,2052068099.62,9.6874968,0.14211274,0.42755344,NASDAQ,,19.79,1.32
HRMY,"Harmony Biosciences Holdings, Inc.",49.34,1.02375102,0.5,424836,2926728147,1.46065804,0.14204545,0.17253628,NASDAQ,,48.93,0.41
WAL,Western Alliance Bancorporation,78.33,-2.81637717,-2.27,1452769,8531084532.000001,1.58618178,0.14061102,0.34584347,NYSE,,78.89,-0.56
PDM,"Piedmont Office Realty Trust, Inc.",10.69,-2.99455535,-0.33,665394,1319096622,1.23915568,0.14038372,0.14038372,NYSE,,10.87,-0.18
RRX,Regal Rexnord Corporation,156.94,0.51879844,0.81,849228,10381776570,2.22558682,0.14035088,0.21387302,NYSE,-0.87,156.29,0.65
OMCL,"Omnicell, Inc.",57.33,-5.12990237,-3.1,437545,2559775703,1.44618304,0.13973799,0.54366889,NASDAQ,,59.03,-1.7
STNG,Scorpio Tankers Inc.,50.15,1.95161618,0.96,1571079,3083866010.0000005,2.11505909,0.13972056,0.62174087,NYSE,0.12,49.85,0.3
BOWL,Bowlero Corp.,14.38,1.19634061,0.17,769923,2383843685,2.32032711,0.13917884,0.55904962,NYSE,-0.33,13.92,0.46
SLAB,"Silicon Laboratories, Inc.",183.61,-3.1541748,-5.98,843448,5857001706,1.44677542,0.13897973,0.2619301,NASDAQ,,185.83,-2.22
TCBI,"Texas Capital Bancshares, Inc.",68.58,0.11678832,0.08,473849,3422088042,2.61569055,0.13872664,0.10948905,NASDAQ,,68.07,0.51
SLGC,"SomaLogic, Inc.",3.6,0.27855153,0.01,1140703,675093531,2.07003585,0.13869626,0,NASDAQ,0.01,3.6,0
LSCC,Lattice Semiconductor Corporation,79.53,-2.96486091,-2.43,2942808,10900335324,2.27864255,0.13850416,0.23947567,NASDAQ,-1.91,79.87,-0.34
BL,"BlackLine, Inc.",76,-2.06185567,-1.6,502322,4543042175,2.24412313,0.13823975,0.17780705,NASDAQ,-2.84,74.59,1.41
SIL,Global X Silver Miners ETF,29.11,-3.57734349,-1.08,1524355,,6.16534051,0.13755158,0.31002411,NYSE ARCA,-0.69,29.4,-0.29
EL,"Estee Lauder Companies, Inc. (The)",269.54,0.42099773,1.13,1913459,96175196641,1.98618233,0.13746471,0.18399093,NYSE,0,268.05,1.49
SLDP,"Solid Power, Inc.",3.64,-0.2739726,-0.01,2663857,639964295.0000001,1.96443046,0.13717421,0.13717421,NASDAQ,-0.0215,3.55,0.09
WK,Workiva Inc.,91.26,-3.92672913,-3.73,304071,4795498243,1.41097802,0.13706892,0.13157895,NYSE,,92.26,-1
PHM,"PulteGroup, Inc.",58.8,-2.43902439,-1.47,2772735,13395799209.999998,1.23734219,0.13623978,0.31561887,NYSE,-1.68,58.74,0.06
HYLN,Hyliion Holdings Corp.,3.67,-1.87165775,-0.07,1311852,659550858,2.77828448,0.13605442,-0.13568521,NYSE,-0.04,3.7,-0.03
YINN,Direxion Daily FTSE China Bull 3x Shares,58.82,-7.60289036,-4.84,2602012,,2.97138842,0.13600816,0.28946024,NYSE ARCA,-2.96,60.71,-1.89
DXLG,"Destination XL Group, Inc.",7.39,0.54421769,0.04,629012,461647804,2.10861346,0.13550136,0.20338983,NASDAQ,0.05,7.34,0.05
SSYS,"Stratasys, Ltd.",14.8,-2.50329381,-0.38,292459,988403162,1.23313573,0.13540961,-0.13504389,NASDAQ,,14.82,-0.02
UUUU,Energy Fuels Inc,7.4,-3.64583333,-0.28,1665194,1166428089.4438827,1.39209019,0.135318,0.20311442,NYSE ARCA,-0.13,7.5,-0.1
IQ,"iQIYI, Inc.",7.41,-1.85430464,-0.14,15304328,5927169205,1.14796492,0.1352265,0,NASDAQ,-0.27,7.3,0.11
UA,"Under Armour, Inc.",11.12,-0.53667263,-0.06,2716434,5372504347,1.793284,0.13495277,0.180018,NYSE,-0.18,11,0.12
LPG,Dorian LPG Ltd.,22.26,0.90661831,0.2,1206576,898202948.0000001,2.44179053,0.13489209,0,NYSE,-0.06,22.11,0.15
ACVA,ACV Auctions Inc.,11.16,0.81300813,0.09,1068633,1737524879.9999998,1.42972788,0.13464991,0.17961383,NASDAQ,,10.78,0.38
PNFP,"Pinnacle Financial Partners, Inc.",81.91,-0.12193635,-0.1,530970,6262413856.999999,1.55527779,0.13444146,0.24470819,NASDAQ,,81.25,0.66
LEGN,Legend Biotech Corporation,52.24,1.14230397,0.59,890380,8745122135,2.25806914,0.13420245,0.50995863,NASDAQ,-1,50.59,1.65
AMST,Amesite Inc.,0.3754,15.50769231,0.0504,1871631,11374734,1.52793017,0.13322675,-1.18327636,NASDAQ,0.005,0.3412,0.0342
GPRE,"Green Plains, Inc.",33.96,-5.1396648,-1.84,949699,2013675054,1.35612376,0.13245033,0.08826125,NASDAQ,,35.8,-1.84
TPH,"Tri Pointe Homes, Inc.",22.68,-1.86066638,-0.43,792109,2288728719,2.2697323,0.13239188,0.28729282,NYSE,,22.42,0.26
CNMD,CONMED Corporation,102.61,-4.34417824,-4.66,1208685,3127800349,4.47574213,0.13177803,0.08781345,NYSE,-4.27,106.94,-4.33
SYNH,"Syneos Health, Inc.",37.93,-0.65479309,-0.25,1003032,3903149594,1.60920096,0.13169667,-0.02635046,NASDAQ,,37.7,0.23
AAP,Advance Auto Parts Inc.,152.17,-1.9775831,-3.07,580789,9016637781,1.03695934,0.1316569,0.12506582,NYSE,-1.5712,153.28,-1.11
PWSC,"PowerSchool Holdings, Inc.",23.04,-3.19327731,-0.76,484731,4594678544.999999,2.17126494,0.13043478,-0.1300954,NYSE,,23.39,-0.35
CLDX,"Celldex Therapeutics, Inc.",46.09,2.46776345,1.11,345816,2170831201,2.22976177,0.13018008,0.61042075,NASDAQ,,44.44,1.65
Z,"Zillow Group, Inc.",46.15,-2.12089077,-1,2905116,10905899726,1.48788772,0.13018008,-0.08659883,NASDAQ,-1.59,45.5,0.65
HIW,"Highwoods Properties, Inc.",30.8,-2.46991767,-0.78,934552,3240087685,1.72633566,0.13003901,0.11376564,NYSE,,31.14,-0.34
PSFE,Paysafe Limited,23.18,-1.02476516,-0.24,299293,1405024720,1.39975497,0.12958963,0.04315926,NYSE,,22.72,0.46
CWAN,"Clearwater Analytics Holdings, Inc.",19.35,-1.07361963,-0.21,378382,4612080357,1.38834871,0.12943308,0.05173306,NYSE,-0.05,19.36,-0.01
NCLH,Norwegian Cruise Line Holdings Ltd.,16.57,-3.15604909,-0.54,12040707,6982533044,1.67952813,0.12931608,0.24198427,NYSE,-0.3,16.7,-0.13
ISEE,"IVERIC bio, Inc.",23.24,-3.12630263,-0.75,1683137,3115864599.9999995,1.36209157,0.12919897,0.17233951,NASDAQ,,23.58,-0.34
VIRT,"Virtu Financial, Inc.",19.41,-0.35934292,-0.07,1233967,3278801016.9999995,1.616631,0.1289657,-0.02575328,NASDAQ,,19.35,0.06
TECK,Teck Resources Ltd,42.72,-0.09354537,-0.04,2812703,21889998734.453686,1.45191372,0.12892639,0.10546051,NYSE,0.05,42.79,-0.07
ARVN,"Arvinas, Inc.",35.1,-3.22580645,-1.17,480063,1868285870,2.63782913,0.1283331,-0.48185941,NASDAQ,,35.52,-0.42
XPRO,Expro Group Holdings N.V.,19.65,2.39708181,0.46,989676,2136789190,3.38673986,0.12732366,0.15282731,NYSE,,19.26,0.39
QNST,"QuinStreet, Inc.",15.79,-0.31565657,-0.05,300491,846981070.0000001,2.33978712,0.12674271,-0.12642225,NASDAQ,,15.63,0.16
OLN,Olin Corporation,63.26,0.31715826,0.2,1538114,8664142885,1.28441064,0.12660231,0.06326111,NYSE,,62.72,0.54
SWTX,"SpringWorks Therapeutics, Inc.",31.69,-6.93098385,-2.36,807511,1976894074,2.64419854,0.12658228,0.01580528,NASDAQ,,33.39,-1.7
AMPY,Amplify Energy Corp.,7.98,-2.56410256,-0.21,708717,306773595,2.48642885,0.12562814,-0.87064677,NYSE,0,8.09,-0.11
TSLQ,AXS TSLA Bear Daily ETF,48.16,-0.94611271,-0.46,6371848,,3.02298684,0.1247142,0.29148449,NASDAQ,1.14,49.7,-1.54
LEN,Lennar Corporation,104.81,-3.02553664,-3.27,2070333,29723082406,1.78142812,0.12417614,0.2390743,NYSE,-2.93,105.05,-0.24
RNA,"Avidity Biosciences, Inc.",24.17,-0.28877888,-0.07,505987,1606399036,1.57069517,0.12401819,0.24834437,NASDAQ,,23.82,0.35
CDMO,"Avid Bioservices, Inc.",16.19,-2.58724428,-0.43,451486,1008788642,1.89105844,0.12360939,-0.1540832,NASDAQ,,16.31,-0.12
SKX,"Skechers U.S.A., Inc.",44.68,-9.150061,-4.5,6590534,6929923205,6.5063249,0.12327692,-0.04475274,NYSE,-4.18,45.8,-1.12
GRBK,"Green Brick Partners, Inc.",32.49,-1.15606936,-0.38,344712,1495763236,1.68161458,0.12326656,0.09242144,NYSE,0,31.96,0.53
PRG,"PROG Holdings, Inc.",24.4,-2.63367917,-0.66,603726,1220796455,1.60094571,0.12320329,0.45323445,NYSE,-0.36,24.48,-0.08
BITO,ProShares Bitcoin Strategy ETF,14.63,-2.27120908,-0.34,10411937,,1.93062382,0.12318642,0.06839945,NYSE ARCA,-0.38,14.59,0.04
FCEL,"FuelCell Energy, Inc.",4.09,-3.76470588,-0.16,14155853,1659407473,2.23688267,0.12254902,0.04163299,NASDAQ,-0.12,4.1,-0.01
MVIS,"MicroVision, Inc.",3.26,-2.68656716,-0.09,3200892,541275055,1.46540644,0.12251149,0.58771039,NASDAQ,-0.08,3.255,0.005
WRBY,Warby Parker Inc.,16.41,-3.47058824,-0.59,850608,1887945997.9999995,1.11109442,0.1218769,0.39718912,NYSE,,16.84,-0.43
KEX,Kirby Corporation,73.97,1.09334427,0.8,489369,4430803186,1.22579506,0.12173678,-0.06750371,NYSE,,73.06,0.91
ARNC,Arconic Corporation,24.85,0.64803564,0.16,677452,2521892256,1.91894764,0.12082159,0.16116035,NYSE,,24.41,0.44
XOM,Exxon Mobil Corporation,111.92,0.69275753,0.77,20226609,460919396170.0001,2.11304975,0.12076754,0.13868385,NYSE,0.85,111.9,0.02
MCO,Moody's Corporation,324.36,-1.55695165,-5.13,1053592,59422748327.00001,1.93509741,0.12036666,0.03392026,NYSE,0,322.68,1.68
IGIC,International General Insurance Holdings Ltd.,8.49,2.90909091,0.24,330816,418473391.99999994,,0.11961722,0.60096154,NASDAQ,,8.5,-0.01
CMA,Comerica Incorporated,75.39,0.68108974,0.51,1204730,9872503097,2.03447225,0.11949018,0.18599708,NYSE,0,74.35,1.04
HTBK,Heritage Commerce Corp,12.6,1.94174757,0.24,341344,765059301,2.26250437,0.11895321,-0.35516969,NASDAQ,,12.38,0.22
NRDS,"NerdWallet, Inc.",12.7,-0.93603744,-0.12,356718,944040742.0000002,3.47528661,0.11815675,0.11815675,NASDAQ,-0.26,12.55,0.15
XRX,Xerox Holdings Corporation,16.96,0.41444642,0.07,2155019,2639020732,2.38664218,0.11806375,0.26603606,NASDAQ,-0.29,16.72,0.24
TSLS,Direxion Daily TSLA Bear 1X Shares,29.77,-0.9976721,-0.3,2512998,,2.90175105,0.11758777,0.26951638,NASDAQ,0.66,30.76,-0.99
AZEK,The AZEK Company Inc.,25.59,-1.99157411,-0.52,1675895,3857132411.000001,1.59986272,0.11741683,0.17622871,NYSE,-1.04,25.13,0.46
INVA,"Innoviva, Inc.",12.8,-1.2345679,-0.16,1436708,893224818,2.43798508,0.11714174,0.54901961,NASDAQ,,12.95,-0.15
PATK,"Patrick Industries, Inc.",77.19,2.2384106,1.69,285537,1749410625,2.20013661,0.11682243,0.0518874,NASDAQ,,74.5,2.69
HQY,"HealthEquity, Inc.",60.04,1.93548387,1.14,873002,5081775563,1.53039634,0.11670557,-0.08319468,NASDAQ,,59.33,0.71
RH,RH,343.62,-0.98833021,-3.43,628270,8230108117,1.47904885,0.11653993,0.02619782,NYSE,-6.83,338.74,4.88
AOS,A.O. Smith Corporation,69.05,-1.91761364,-1.35,952108,10549150659.999998,0.71330824,0.11599246,0.07246377,NYSE,,69.47,-0.42
CLF,Cleveland-Cliffs Inc.,21.6,-0.13869626,-0.03,10066796,11130533986,2.11419553,0.11587486,0.09267841,NYSE,0.16,21.71,-0.11
FULT,Fulton Financial Corporation,17.28,0.17391304,0.03,917918,2894302556,1.97972793,0.11580776,0.14480162,NASDAQ,,17.17,0.11
WDC,Western Digital Corporation,43.25,-2.98340063,-1.33,5798714,13810691948,1.39308519,0.11571396,-0.21912121,NASDAQ,-0.9,43.6,-0.35
RVLV,"Revolve Group, Inc.",30.33,-1.55793574,-0.48,1066503,2224268005.9999995,1.15048904,0.11553062,0,NYSE,-1.54,29.75,0.58
JBLU,JetBlue Airways Corporation,8.73,-5.31453362,-0.49,10932398,2827451514,1.53120978,0.11474469,0,NASDAQ,-0.16,9.05,-0.32
PYCR,"Paycor HCM, Inc.",26.2,-2.34811778,-0.63,538571,4607427408,1.9798357,0.11454754,0.2293578,NASDAQ,-0.23,26.38,-0.18
OMF,"OneMain Holdings, Inc.",43.73,-1.01856043,-0.45,1581377,5344326278.999999,1.70924564,0.11444266,-0.11418132,NYSE,-0.68,43.27,0.46
MRTX,"Mirati Therapeutics, Inc.",52.57,-3.11463325,-1.69,1005626,3027342450,1.66629188,0.11437286,0.21562005,NASDAQ,-0.99,53.11,-0.54
ATGE,Adtalem Global Education Inc.,43.83,13.43167702,5.19,435527,1992108059.0000005,3.20440477,0.11402509,0.4576659,NYSE,,40.24,3.59
GRPN,"Groupon, Inc.",8.78,-6.09625668,-0.57,508644,267240204,1.31327311,0.11389522,0.0569152,NASDAQ,-0.11,9.08,-0.3
GEHC,GE HealthCare Technologies Inc.,70.55,-0.14154282,-0.1,3075109,32079790782.199997,2.03466416,0.1135396,0.06383431,NASDAQ,-0.94,69.63,0.92
SAGE,"Sage Therapeutics, Inc.",44.16,-0.96434178,-0.43,398881,2627241868,2.14321022,0.113199,0.1585504,NASDAQ,,43.82,0.34
NUS,"Nu Skin Enterprises, Inc.",44.23,0.68290462,0.3,545882,2185855607,1.04273941,0.11317338,0.36305877,NYSE,,43.37,0.86
SGRY,"Surgery Partners, Inc.",35.41,-1.47468002,-0.53,611310,4140860597,2.42329694,0.11299435,-0.05640158,NASDAQ,-0.81,35.12,0.29
TBBK,"The Bancorp, Inc.",35.72,2.14469545,0.75,347420,1999661383,0.90094824,0.11204482,-0.19547612,NASDAQ,,34.67,1.05
SVIX,VS TR -1x Short VIX Futures ETF,17.97,-0.82781457,-0.15,1784216,,1.77344627,0.11197834,0.33500838,NYSE ARCA,-0.52,17.63,0.34
PCTY,Paylocity Holding Corporation,218.99,-3.11891701,-7.05,692198,12213010888,4.13761488,0.11181343,0.05701644,NASDAQ,,228.07,-9.08
PARR,"Par Pacific Holdings, Inc. Common Stock",26.93,2.08491281,0.55,1261909,1624355459,4.10950765,0.11152416,0.37271711,NYSE,0.31,26.49,0.44
TRTX,"TPG RE Finance Trust, Inc.",9,0.89686099,0.08,768206,696659546,5.16683863,0.11111111,0.55803571,NYSE,,8.81,0.19
NCMI,"National CineMedia, Inc.",0.269,-0.40725657,-0.0011,2059436,22058038,3.30075935,0.11111111,0.29684601,NASDAQ,-0.0001,0.278,-0.009
WTFC,Wintrust Financial Corporation,94.87,1.5738758,1.47,497157,5764801716,2.9893362,0.11080625,0.04745834,NASDAQ,-0.5,93.11,1.76
EB,"Eventbrite, Inc.",9.06,-2.47578041,-0.23,946666,894132912.9999999,1.74392513,0.11049724,0.27670172,NYSE,,9.06,0
BRKR,Bruker Corporation,72.52,-0.17894012,-0.13,458987,10666438208,1.7288185,0.11042098,-0.1651755,NASDAQ,,71.93,0.59
ERX,Direxion Energy Bull 2X Shares,63.53,-0.36072773,-0.23,787741,,1.46344456,0.11025358,0.07872776,NYSE ARCA,0.48,64.27,-0.74
PII,Polaris Inc.,118.14,-0.4969258,-0.59,812166,6847218946,1.41579973,0.11016016,0.04234059,NYSE,,117.29,0.85
LGF.A,Lions Gate Entertainment Corporation,9.11,-2.46252677,-0.23,1199342,2008083471,1.46162806,0.10976948,0.16474465,NYSE,,9.25,-0.14
EW,Edwards Lifesciences Corporation,82.12,-2.82806768,-2.39,4743766,50771553798,2.10889246,0.10971596,0.15244832,NYSE,,83.52,-1.4
AGQ,ProShares Ultra Silver,27.45,-9.76331361,-2.97,1282412,,3.49385518,0.10948905,0.14567307,NYSE ARCA,-2.16,28.37,-0.92
NOW,"ServiceNow, Inc.",472.22,-3.87770472,-19.05,1715179,95860660248,1.33259361,0.10917378,0.10599059,NYSE,-13.02,478.13,-5.91
ULCC,"Frontier Group Holdings, Inc.",13.76,1.92592593,0.26,826172,2996431744,3.55553247,0.10909091,0.10909091,NASDAQ,,13.25,0.51
TMO,Thermo Fisher Scientific Inc,587.76,0.11753283,0.69,1283169,230516864200.99997,1.17388672,0.10900853,0.12179853,NYSE,-3.32,584.56,3.2
VVPR,VivoPower International PLC,0.798,25.27472527,0.161,1064120,18888471,0.74988602,0.10889037,1.98083067,NASDAQ,0.0476,0.666,0.132
MJ,ETFMG Alternative Harvest ETF,4.62,-3.34728033,-0.16,421408,,0.95948556,0.10810811,0.10810811,NYSE ARCA,-0.197,4.68,-0.06
IDEX,"Ideanomics, Inc.",0.1851,-5.0282196,-0.0098,21988496,109107731.00000001,2.42105129,0.10770059,-0.05376344,NASDAQ,-0.0009,0.1935,-0.0084
ENOV,Enovis Corporation,65.25,-1.0163835,-0.67,316410,3533266691,1.90405,0.10746085,0.12283126,NYSE,,65.37,-0.12
EZPW,"EZCORP, Inc.",9.34,3.43300111,0.31,1548447,525927530.00000006,6.50473713,0.10723861,0.21470746,NASDAQ,,9.38,-0.04
SE,Sea Limited,70.47,-2.81340505,-2.04,4002675,39585670005,1.5143973,0.10654166,0.09943182,NYSE,-2.61,70.01,0.46
SANA,"Sana Biotechnology, Inc.",4.68,-4.87804878,-0.24,641236,892599708,1.07597842,0.10649627,0.10649627,NASDAQ,,4.74,-0.06
AMTX,"Aemetis, Inc",4.69,-0.21276596,-0.01,588741,164355801,2.084525,0.10649627,0.42949636,NASDAQ,-0.23,4.6,0.09
ACIW,"ACI Worldwide, Inc.",28.16,-0.98452883,-0.28,604452,3164455491,1.32271745,0.10649627,-0.19465581,NASDAQ,,28.15,0.01
NVCR,NovoCure Limited,94.22,-0.9149227,-0.87,743067,9888396747.999998,1.68501719,0.10623606,0.34075178,NASDAQ,-0.87,93.62,0.6
UWMC,UWM Holdings Corporation,4.73,-3.66598778,-0.18,978805,7542672493.000001,2.06693677,0.1059322,0.1059322,NYSE,-0.0401,4.8,-0.07
WW,"WW International, Inc.",4.75,-9.00383142,-0.47,2359056,335001911,2.58057645,0.10537408,0.52910053,NASDAQ,-0.1,5.04,-0.29
MBLY,Mobileye Global Inc.,42.78,1.3263856,0.56,2996262,34305791295.9,1.66977795,0.10530011,0.42253521,NASDAQ,-0.29,41.68,1.1
ALEC,"Alector, Inc.",9.49,-0.73221757,-0.07,628550,784837578,2.17864835,0.10526316,0.15797788,NASDAQ,,9.37,0.12
ICPT,"Intercept Pharmaceuticals, Inc.",19.02,-0.67885117,-0.13,449046,787753822,1.56276446,0.10515247,0.15781168,NASDAQ,,18.79,0.23
BLDE,"Blade Air Mobility, Inc.",4.75,-0.83507307,-0.04,351670,340353090,2.72410681,0.10515247,0.21052632,NASDAQ,,4.72,0.03
PTGX,"Protagonist Therapeutics, Inc.",14.33,-0.89903181,-0.13,648077,705013212,0.98187267,0.10471204,0.10471204,NASDAQ,-0.16,14.26,0.07
EVR,Evercore Inc.,134.23,1.16059989,1.54,661000,5213193939.999999,1.91164865,0.10440749,0.17164179,NYSE,-6.37,128.84,5.39
BRBR,"BellRing Brands, Inc.",28.8,0.0694927,0.02,1627250,3871460640,4.33158311,0.10427529,0.24364775,NYSE,,28.72,0.08
SSTK,"Shutterstock, Inc.",76.74,-2.63892413,-2.08,642710,2748447016,1.71325746,0.1042617,0.18260076,NYSE,-2.99,76.11,0.63
PRTA,Prothena Corporation plc,57.75,3.96039604,2.2,501176,2981434293,1.6516143,0.10400416,0.34578026,NASDAQ,,54.45,3.3
CVNA,Carvana Co.,14.45,1.40350877,0.2,61033628,2728849787,1.39652931,0.10384216,-0.07256142,NYSE,-1.3,12.95,1.5
OZK,Bank OZK,48.26,-0.88313822,-0.43,1476538,5654958604,4.80638682,0.10371292,0.29093932,NASDAQ,,48.24,0.02
UMPQ,Umpqua Holdings Corporation,19.38,0.31055901,0.06,1364155,4206493343.000001,1.51602606,0.10325245,-0.07729967,NASDAQ,,19.22,0.16
VREX,Varex Imaging Corporation,19.4,-1.42276423,-0.28,434954,777939955.0000001,0.76960423,0.10319917,0.31023785,NASDAQ,,19.51,-0.11
CTRA,Coterra Energy Inc.,24.26,-1.90052568,-0.47,6878874,19128217999,2.26113765,0.10317788,-0.0618047,NYSE,0,24.68,-0.42
TLS,Telos Corporation,4.89,-5.41586074,-0.28,529642,328659946,1.75969344,0.10224949,-0.10204082,NASDAQ,-0.07,5.07,-0.18
SQSP,"Squarespace, Inc.",24.5,-2.9318542,-0.74,515900,3352326396,1.80832696,0.10210333,0.06123699,NYSE,,24.63,-0.13
PSX,Phillips 66,98.81,-0.17175187,-0.17,3525128,46700789756,1.61140047,0.10130686,0.12159287,NYSE,0.42,99.28,-0.47
SJT,San Juan Basin Royalty Trust,9.91,-0.30181087,-0.03,464365,461895194,1.09029704,0.1010101,0.24378155,NYSE,0.22,10.03,-0.12
ALLY,Ally Financial Inc.,34.76,-1.25,-0.44,4618302,10380966146.999998,1.37089048,0.10079194,0.17291066,NYSE,-0.86,34.29,0.47
LZB,La-Z-Boy Incorporated,29.8,0,0,379834,1285454179,2.42836101,0.10077259,0.52285377,NYSE,,29.39,0.41
PL,Planet Labs PBC,4.96,-1.58730159,-0.08,1173137,1349636063,1.70427519,0.10070493,0.2016129,NYSE,-0.08,5.01,-0.05
TNDM,"Tandem Diabetes Care, Inc.",45.04,0.13339262,0.06,995168,2896017216.0000005,2.89591127,0.10005559,-0.28792913,NASDAQ,,44.36,0.68
CWK,Cushman & Wakefield plc,15.03,-0.06648936,-0.01,2400304,3393122432,1.25395599,0.09993338,0.20006669,NYSE,0,14.81,0.22
WBS,Webster Financial Corporation,55.09,0.91591867,0.5,1041673,9586178681,1.70588641,0.09991825,0.00907523,NYSE,,53.96,1.13
KC,Kingsoft Cloud Holdings Limited,5.01,-6.00375235,-0.32,1464209,1328750614.64088,1.29362542,0.0999001,0.4008016,NASDAQ,-0.2495,5.18,-0.17
HUM,Humana Inc.,476.57,-2.69514262,-13.2,1519701,60333914910,1.29735086,0.09981193,-0.0146923,NYSE,2.84,491.64,-15.07
NYCB,"New York Community Bancorp, Inc.",10.08,-3.17002882,-0.33,9977084,6865848845,1.95887232,0.0993542,0.29865605,NYSE,-0.27,10.15,-0.07
CLH,"Clean Harbors, Inc.",131.91,0.77928031,1.02,357657,7132940457,4.55756281,0.09864178,0.06067961,NYSE,,130.19,1.72
AAPD,Direxion Daily AAPL Bear 1X Shares,25.37,-2.34795997,-0.61,808344,,7.45746537,0.09863878,0.07889546,NASDAQ,0.5,26.53,-1.16
NEOG,Neogen Corporation,20.29,-3.83886256,-0.81,2036608,4385770572,1.44137238,0.09861933,0.19743337,NASDAQ,-0.06,20.71,-0.42
CRC,California Resources Corporation,40.77,-1.01966497,-0.42,662072,2995409932.0000005,0.99988641,0.09820771,-0.07352941,NYSE,-0.34,40.92,-0.15
COTY,Coty Inc.,10.22,-1.63618864,-0.17,7216770,8688149852.000002,2.73229184,0.09803922,0.04899559,NYSE,-0.18,10.3,-0.08
AX,"Axos Financial, Inc.",51.14,1.28738364,0.65,534662,3068436249,1.97580561,0.09778995,0.29394474,NYSE,,49.66,1.48
PLNT,"Planet Fitness, Inc.",81.92,-1.85695459,-1.55,842794,7336893906,2.68790662,0.09773977,0.08551185,NYSE,-0.75,82.39,-0.47
SAVA,"Cassava Sciences, Inc.",30.92,-1.9035533,-0.6,1082955,1290463443.0000002,1.28939884,0.09705597,0.51981806,NASDAQ,-0.8667,30.96,-0.04
KNX,Knight-Swift Transportation Holdings Inc.,62.04,-1.85097295,-1.17,2111875,9969579933.999998,1.29142989,0.09682104,0.33158108,NYSE,-0.98,62.37,-0.33
AVNT,Avient Corporation,41.39,-2.84037559,-1.21,505388,3764152852,3.4161244,0.09673519,0.04834421,NYSE,,41.91,-0.52
ALGM,"Allegro MicroSystems, Inc.",41.56,1.11922141,0.46,1908139,7959083974.999999,0.94631282,0.09631592,0.0240616,NASDAQ,-1.1,40.16,1.4
SUPN,"Supernus Pharmaceuticals, Inc.",41.61,-0.99928622,-0.42,547185,2249359071,2.57553702,0.09624639,0.26512413,NASDAQ,-1.03,41.81,-0.2
BALY,Bally's Corporation,21.01,0.57443753,0.12,377086,992960066,1.80290351,0.0952381,0.11907597,NYSE,,20.55,0.46
PTEN,"Patterson-UTI Energy, Inc.",15.87,-0.87445347,-0.14,2749945,3440960855,1.60005234,0.09448819,0.09448819,NASDAQ,,16.05,-0.18
NTCT,"NetScout Systems, Inc.",31.87,-2.14921707,-0.7,429703,2261566959.0000005,0.89696069,0.09416196,0.25149324,NASDAQ,,32.13,-0.26
OSH,"Oak Street Health, Inc.",26.62,-2.77574872,-0.76,2475741,6466422103,1.85030211,0.09400263,0.16933208,NYSE,-0.16,26.73,-0.11
ASTL,Algoma Steel Group Inc.,8.54,1.42517815,0.12,757713,885801977.0802791,0.96492226,0.09378664,0.21126761,NASDAQ,0.27,8.32,0.22
CG,The Carlyle Group Inc.,37.4,-0.95338983,-0.36,4853071,13598839378.999998,2.33196363,0.09362044,0.08023536,NASDAQ,-0.36,37.2,0.2
NWL,Newell Brands Inc.,16.12,-2.1250759,-0.35,3215431,6667232444.999999,1.85322828,0.09313878,0.03102699,NASDAQ,-0.22,16.22,-0.1
NABL,"N-able, Inc.",10.73,-1.91956124,-0.21,266611,1938746174.9999995,2.43659814,0.09310987,-0.0929368,NYSE,,10.67,0.06
FFWM,First Foundation Inc.,16.19,-1.40073082,-0.23,735761,912916447,3.18112354,0.09267841,-0.1540832,NASDAQ,-0.62,15.52,0.67
CIVI,"Civitas Resources, Inc.",64.94,2.81823939,1.78,936881,5527095175,4.00817795,0.09246417,-0.10765918,NYSE,,62.98,1.96
UNFI,"United Natural Foods, Inc.",43.3,-1.07379484,-0.47,519753,2590704278,2.62574528,0.09246417,0.23148148,NYSE,,43.44,-0.14
NGVT,Ingevity Corporation,86.93,-0.08045977,-0.07,278448,3248715617,3.30384258,0.09213406,0.25377783,NYSE,,86.02,0.91
RMBS,"Rambus, Inc.",43.62,-1.62381597,-0.72,1938380,4688365155.999999,3.42474202,0.09178522,-0.20590254,NASDAQ,-0.54,44.06,-0.44
